Universidad;Tipo Titulacion;Facultad;titulacion;Título;Autor;Año;URL;Archivo Abstract;Palabras Clave;Idioma Abstract;Categoria
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Sarcopenia: prevalencia, consecuencias, etiopatogénesis, diagnosis y tratamiento;Gómez Fernández, Soraya;2017;https://buleria.unileon.es/handle/10612/6682;abstracts_uhu_TFG\Sarcopenia__prevalencia__conse_2017_15455204.txt;Sarcopenia, Envejecimiento, Nutrición, Tratamiento, Diagnóstico, Causas, Entrenamiento, Fuerza;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Valoración de la condición física aeróbica en ciclismo: test continuo en rampa vs test interválico = Assessment of the aerobic physical condition in cycling: Continuous test in ramp vs Interval test;Puertas Pedroso, David;2017;https://buleria.unileon.es/handle/10612/6643;abstracts_uhu_TFG\Valoraci_n_de_la_condici_n_f_s_2017_43731668.txt;Ciclismo, Capacidad aeróbica (VO2máx), Resistencia, Umbral anaeróbico, Test, Recuperación, Rendimiento;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Valoración de la eficacia de la acción de piernas y de brazos en nadadores jóvenes = Assessment of the effectiveness of legs and arms activity in young swimmers;González Rodríguez, Diego;2017;https://buleria.unileon.es/handle/10612/6504;abstracts_uhu_TFG\Valoraci_n_de_la_eficacia_de_l_2017_55856247.txt;Natación, Velocidad, Antropometría, Brazada, Potencia anaeróbica;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Valores de marca personal en jugadores de la NBA = NBA players' customized brand equity;Medina González, Ramón;2017;https://buleria.unileon.es/handle/10612/6495;abstracts_uhu_TFG\Valores_de_marca_personal_en_j_2017_59233489.txt;National Basketball Association (NBA), Marca personal;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Yoga y fuerza = Yoga and strength;Salazar Molinero, Bruno;2017;https://buleria.unileon.es/handle/10612/6714;abstracts_uhu_TFG\Yoga_y_fuerza___Yoga_and_stren_2017_20499768.txt;Yoga, Fuerza, Músculo, Revisión;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis comparativo del saque de esquina en diferentes categorías de competición = Comparative analysis of the development of corner kicks in the different categories;Sebastian Gil, Diego;2018;https://buleria.unileon.es/handle/10612/8113;abstracts_uhu_TFG\An_lisis_comparativo_del_saque_2018_13721007.txt;Categorías, Análisis, Fútbol;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis cuantitativo de la salida de relevos en natación con el dispositivo OMEGA-OSB11 = Quantitative analysis of the relay start in swimming with the start device OMEGA-OSB11;Sánchez Sahelices, Pedro Guillermo;2018;https://buleria.unileon.es/handle/10612/8148;abstracts_uhu_TFG\An_lisis_cuantitativo_de_la_sa_2018_7651648.txt;Natación, Salida relevo, Técnica, OSB11, Investigación cuantitativa;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis de las diferencias en las tendencias del juego colectivo ofensivo entre el balonmano de élite masculino y femenino = Analysis of the differences in the tendencies of the collective offensive game between the masculine and feminine elite handball;Onsalo Damboriena, Ainara;2018;https://buleria.unileon.es/handle/10612/8064;abstracts_uhu_TFG\An_lisis_de_las_diferencias_en_2018_25361905.txt;Táctica colectiva ofensiva, Balonmano, Balonmano;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis del portero de fútbol = Analysis of the goalkeepe role in soccer;Díaz López, Javier;2018;https://buleria.unileon.es/handle/10612/7759;abstracts_uhu_TFG\An_lisis_del_portero_de_f_tbol_2018_54546365.txt;Fútbol, Guardameta, Evolución, Cesión;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis del tiempo de compromiso motor en dos estilos de enseñanza y su relación con el logro en el aprendizaje de una habilidad gimnástica: la paloma en suelo = Analysis of the motor activity’s time in two differents teaching styles and its relation to the achievement of learning a gymnastic skill: the forward handspring;Villalba Ruiz, Óliver;2018;https://buleria.unileon.es/handle/10612/7752;abstracts_uhu_TFG\An_lisis_del_tiempo_de_comprom_2018_66597203.txt;Habilidades gimnásticas, Enseñanza, Aprendizaje;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis notacional del colocador en la Superliga Masculina Española de voleibol =  Notational analysis of setter in male Spanish volleyball League;Jarrín Luengo, Ignacio;2018;https://buleria.unileon.es/handle/10612/8134;abstracts_uhu_TFG\An_lisis_notacional_del_coloca_2018_14198243.txt;Análisis notacional, Colocador, Voleibol;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis notacional en baloncesto femenino mediante la utilización de las nuevas tecnologías = Notational analysis in Women’s Basketball through the use of new technologies;Fernández Luengo, Silvia;2018;https://buleria.unileon.es/handle/10612/8048;abstracts_uhu_TFG\An_lisis_notacional_en_balonce_2018_20784072.txt;Baloncesto, Rendimiento, Mujeres, Nuevas tecnologías de la información y de la comunicación;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis técnico-táctico del tenista profesional Rafael Nadal en el open de australia 2017 = Tecnical-tactical analysis of the professional tennis player Rafael Nadal in the australian open 2017;Boix Monjardín, Gustavo Jorge;2018;https://buleria.unileon.es/handle/10612/7630;abstracts_uhu_TFG\An_lisis_t_cnico-t_ctico_del_t_2018_92637461.txt;Tenis, Análisis, Táctica, Estilo de juego, Nadal, Rafael, 1986-;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Análisis técnico-táctico del tenista profesional Roger Federer en el open de australia 2017 = Technical-tactical analysis of the professional tennis player Roger Federer at australian open 2017;Nieto Gamero, Isaac;2018;https://buleria.unileon.es/handle/10612/7949;abstracts_uhu_TFG\An_lisis_t_cnico-t_ctico_del_t_2018_87930258.txt;Tenis, Táctica, Técnica, Federer, Roger, 1981-, Open de Australia, 2017;spa;Deporte
